,contested,democrat_name,democrat_percent,democrat_votes,democrat_winner,district,other_candidates,republican_name,republican_percent,republican_votes,republican_winner,state_name
68,False,B. Nguyen,0.301,44652.0,False,46,[],,,,False,California
69,True,A. Lowenthal (i),0.625,127832.0,True,47,[],A. Whallon,0.375,76670.0,False,California
70,True,S. Savary,0.41500000000000004,117716.0,False,48,[],D. Rohrabacher (i),0.585,165987.0,True,California
71,True,D. Applegate,0.49,129100.0,False,49,[],D. Issa (i),0.51,134428.0,False,California
72,True,P. Malloy,0.361,84142.0,False,50,[],D. Hunter (i),0.639,148880.0,True,California
73,True,J. Vargas (i),0.719,108932.0,True,51,[],J. Hidalgo,0.281,42676.0,False,California
74,True,S. Peters (i),0.5640000000000001,148651.0,True,52,[],D. Gitsham,0.436,115013.0,False,California
75,True,S. Davis (i),0.661,151269.0,True,53,[],J. Veltmeyer,0.339,77436.0,False,California
76,True,L. Rochester,0.555,233542.0,True,1,"[{'name': 'M. Perri', 'winner': False, 'votes': 8325, 'percent': 0.02}, {'name': 'S. Gesty', 'winner': False, 'votes': 6436, 'percent': 0.015}]",H. Reigle,0.41000000000000003,172290.0,False,Delaware
77,True,T. O'Halleran,0.508,117048.0,True,1,"[{'name': 'R. Parrish', 'winner': False, 'votes': 13122, 'percent': 0.057}]",P. Babeu,0.435,100236.0,False,Arizona
78,True,M. Heinz,0.433,120572.0,False,2,[],M. McSally (i),0.5670000000000001,157677.0,True,Arizona
79,False,R. Grijalva (i),,,True,3,[],,,,False,Arizona
80,True,M. Weisser,0.28500000000000003,68460.0,False,4,[],P. Gosar (i),0.715,171901.0,True,Arizona
81,True,T. Fuentes,0.369,92225.0,False,5,[],A. Biggs,0.631,157980.0,True,Arizona
82,True,J. Williamson,0.384,99008.0,False,6,[],D. Schweikert (i),0.616,158978.0,True,Arizona
83,True,R. Gallego (i),0.746,88219.0,True,7,[],E. Nunez,0.254,30040.0,False,Arizona
84,False,,,,False,8,"[{'name': 'M. Salazar', 'winner': False, 'votes': 75963, 'percent': 0.314}]",T. Franks (i),0.686,165593.0,True,Arizona
85,True,K. Sinema (i),0.611,132281.0,True,9,[],D. Giles,0.389,84137.0,False,Arizona
86,True,S. Lindbeck,0.365,90784.0,False,1,"[{'name': 'J. McDermott', 'winner': False, 'votes': 25104, 'percent': 0.101}, {'name': 'B. Souphanavong', 'winner': False, 'votes': 7158, 'percent': 0.029}]",D. Young (i),0.505,125729.0,True,Alaska
87,True,S. Specht,0.309,113586.0,False,1,[],M. Gaetz,0.6910000000000001,254280.0,True,Florida
88,True,W. Dartland,0.299,102596.0,False,2,"[{'name': 'R. Lapham', 'winner': False, 'votes': 9384, 'percent': 0.027}]",N. Dunn,0.673,230838.0,True,Florida
